"aha_id","year","Core","ClinInteropFx","DataUse","breadth_of_exchange","Friction","Barriers","Methods","InfoBlocking","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6140065",2025,31.25,0.5,0.25,0.1875,28.7830687830688,0.577777777777778,0.285714285714286,0,0,0,1,1,"Metro","Meditech",1,2.01407
"6140080",2025,64.5833333333333,1,0.5,0.4375,24.8677248677249,0.444444444444444,0.301587301587302,0,0,1,0,0,"Metro","Cerner",NA,2.2114289
"6140215",2025,93.75,1,1,0.8125,38.6243386243386,0.444444444444444,0.714285714285714,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6140270",2025,83.3333333333333,1,1,0.5,29.047619047619,0.466666666666667,0.404761904761905,0,1,0,0,0,"Metro","Epic",NA,1.880547
"6140310",2025,93.75,1,1,0.8125,38.6243386243386,0.444444444444444,0.714285714285714,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6140428",2025,87.5,0.875,1,0.75,37.5661375661376,0.222222222222222,0.904761904761905,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6140465",2025,100,1,1,1,42.7513227513227,0.488888888888889,0.46031746031746,0.333333333333333,0,1,0,0,"Metro","Epic",1,1.4580649
"6140630",2025,56.25,0.75,0.5,0.4375,38.3068783068783,0.411111111111111,0.738095238095238,0,0,1,0,0,"Metro","Meditech",NA,1.8834013
"6140850",2025,66.6666666666667,0.75,1,0.25,48.5714285714286,0.655555555555556,0.801587301587302,0,0,1,0,0,"Metro","Meditech",NA,2.4097648
"6140900",2025,85.4166666666667,1,1,0.5625,30,0.4,0.5,0,0,1,0,0,"Metro","Epic",1,1.9058088
"6140923",2025,100,1,1,1,28.8359788359788,0.222222222222222,0.642857142857143,0,0,0,1,0,"Metro","Epic",1,2.01407
"6140980",2025,31.25,0.5,0.25,0.1875,28.7830687830688,0.577777777777778,0.285714285714286,0,0,1,0,0,"Metro","Meditech",1,1.6728343
"6141010",2025,75,0.75,1,0.5,30.7936507936508,0.733333333333333,0.19047619047619,0,0,0,1,1,"Metro","Meditech",1,1.8714032
"6141110",2025,56.25,0.625,0.75,0.3125,35.6084656084656,0.766666666666667,0.301587301587302,0,0,1,0,0,"Metro","Meditech",NA,2.2114289
"6141130",2025,100,1,1,1,28.8359788359788,0.222222222222222,0.642857142857143,0,0,1,0,0,"Metro","Epic",1,1.490646
"6141430",2025,93.75,1,1,0.8125,38.6243386243386,0.444444444444444,0.714285714285714,0,0,0,1,0,"Micro","Epic",1,1.9884837
"6141640",2025,93.75,1,1,0.8125,38.6243386243386,0.444444444444444,0.714285714285714,0,0,0,1,1,"Micro","Epic",1,1.9884837
"6141705",2025,66.6666666666667,0.75,1,0.25,30.7936507936508,0.733333333333333,0.19047619047619,0,0,1,0,0,"Metro","Meditech",1,1.490646
"6142000",2025,85.4166666666667,1,1,0.5625,30,0.4,0.5,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6149199",2025,66.6666666666667,0.75,1,0.25,30.7936507936508,0.733333333333333,0.19047619047619,0,0,0,1,1,"Metro","Meditech",1,2.01407
"6150080",2025,85.4166666666667,1,1,0.5625,30,0.4,0.5,0,0,1,0,0,"Metro","Epic",1,1.6728343
