"aha_id","year","Find","Send","Receive","Integrate","ClinInteropFx","Available","Used","DataUse","HospitalSend","HospitalReceive","AmbSend","AmbReceive","LTPACSend","LTPACReceive","BHSend","BHReceive","breadth_of_exchange","Barrier_Send","Barrier_Receive","Barrier_Other","Barriers","MFind","MSend","MReceive","Methods","IB_Extent_EHR","IB_Extent_HIE","IB_Extent_Prov","InfoBlocking","Core","Friction","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6120380",2025,1,1,1,0.5,0.875,1,1,1,1,1,1,0.5,0,0.5,0.5,0.5,0.625,0.5,0.666666666666667,0.6,0.588888888888889,0.333333333333333,0.571428571428571,0.571428571428571,0.492063492063492,0,0,0,0,83.3333333333333,36.031746031746,0,0,1,0,"Metro","Meditech",1,2.3652003
"6120410",2025,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.166666666666667,0.142857142857143,0,0.103174603174603,0,0,0,0,16.6666666666667,20.1058201058201,0,0,1,1,"Rural","Meditech",NA,2.7797508
"6130001",2025,1,1,1,1,1,0.5,1,0.75,1,1,1,1,1,1,1,1,1,0.5,0.333333333333333,0.5,0.444444444444444,0.666666666666667,1,0.857142857142857,0.841269841269841,0,0,0,0,91.6666666666667,42.8571428571429,1,0,0,0,"Metro","Epic",1,1.4890608
"6130015",2025,1,1,1,1,1,0.5,1,0.75,1,1,1,1,1,1,1,1,1,0.5,0.333333333333333,0.5,0.444444444444444,0.666666666666667,1,0.857142857142857,0.841269841269841,0,0,0,0,91.6666666666667,42.8571428571429,0,1,0,0,"Micro","Epic",1,1.6558578
"6130040",2025,0.5,1,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.25,0.833333333333333,0.833333333333333,0.8,0.822222222222222,0,0.142857142857143,0,0.0476190476190476,0,1,1,0.666666666666667,45.8333333333333,51.2169312169312,0,0,1,0,"Micro","Meditech",1,1.8494166
"6130120",2025,1,1,1,1,1,0.5,1,0.75,1,1,1,1,1,1,1,1,1,0.5,0.333333333333333,0.5,0.444444444444444,0.666666666666667,1,0.857142857142857,0.841269841269841,0,0,0,0,91.6666666666667,42.8571428571429,0,0,1,1,"Rural","Epic",1,1.8494166
"6130150",2025,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.9,0.966666666666667,0.833333333333333,0.571428571428571,0.571428571428571,0.658730158730159,1,0,0,0.333333333333333,66.6666666666667,65.2910052910053,0,0,1,1,"Rural","Cerner",NA,2.7797508
"6130210",2025,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0,0,0,0,0.375,0.5,0.166666666666667,0.4,0.355555555555556,0.5,0.857142857142857,0.428571428571429,0.595238095238095,0,0,0,0,62.5,31.6931216931217,0,1,0,0,"Micro","Cerner",NA,2.1808629
"6130212",2025,1,1,1,0.5,0.875,0.5,0,0.25,1,0,1,0,1,0,1,0,0.5,0.666666666666667,0.166666666666667,0.5,0.444444444444444,0.166666666666667,0.857142857142857,0.285714285714286,0.436507936507936,0,0,0,0,54.1666666666667,29.3650793650794,0,0,1,0,"Metro","Meditech",1,1.8714032
"6130225",2025,1,1,1,1,1,1,0.5,0.75,1,1,1,1,1,0,1,0,0.75,0.666666666666667,0.333333333333333,0.6,0.533333333333333,0.5,0.428571428571429,0.571428571428571,0.5,0,0,0,0,83.3333333333333,34.4444444444444,0,0,1,1,"Rural","Meditech",NA,2.5293629
